Date;Open;High;Low;Close;rsi;ema_fast;ema_slow;volatility
2000-01-03;0.6281;633;0.6235;0.6272;;;;
2000-01-10;0.6271;629;0.6181;0.6197;;;;
2000-01-17;0.62;0.6225;0.6072;609;;;;
2000-01-24;0.6091;0.61271;599;0.6027;;;;
2000-01-31;0.6021;0.6267;598;0.6158;;;;
2000-02-07;0.6166;0.6209;0.6102;0.6192;;;;
2000-02-14;0.6192;0.6232;0.6117;0.6157;;;;
2000-02-21;0.6161;0.6265;0.61;0.6114;;;;
2000-02-28;0.6117;0.6174;0.5929;606;;;;
2000-03-06;0.6059;0.6132;602;0.6102;;;;
2000-03-13;0.6103;0.6186;0.6094;0.6174;;;;
2000-03-20;0.6174;621;0.6078;0.6133;;;;
2000-03-27;0.6133;0.6141;0.5949;0.6008;;;;
2000-04-03;0.6009;0.6105;0.5958;0.6036;;0.6122857142857142;;
2000-04-10;0.6037;0.6095;0.5986;0.6072;38.71331828442434;0.611607619047619;;2.4728260869565233
2000-04-17;0.6071;0.6083;0.5912;0.5938;33.29102583246227;0.6092332698412698;;2.5537097627868945
2000-04-24;0.5944;0.5977;0.5743;0.5863;30.69928292254079;0.6061755005291005;;2.686716593511019
2000-05-01;0.5869;0.5921;0.5679;0.5876;31.691949510873496;0.6036987671252204;;2.7834636297872266
2000-05-08;0.5883;0.6083;0.5817;0.6037;42.6485809122131;0.6036989315085244;;2.8304410865399867
2000-05-15;0.6036;0.6084;0.5958;0.6036;42.60287179399456;0.6036857406407211;;2.7778075228716363
2000-05-22;0.6037;0.6317;0.6028;0.6252;54.05687340747638;0.6065543085552916;;2.8204574616658853
2000-05-29;0.6253;0.6285;0.6196;0.6255;54.19359762515177;0.6090804007479194;;2.7193730804425766
2000-06-05;0.6253;0.6377;0.6218;0.6317;57.03906581312149;0.6120963473148634;;2.680135485155568
2000-06-12;0.6316;0.6416;0.6257;0.6361;58.98623145379911;0.6152968343395483;;2.6500258963826475
2000-06-19;0.6364;0.63939;0.6175;0.6231;51.55179083780995;0.6163372564276085;;2.7630120302814296
2000-06-26;623;0.6345;0.6185;0.6268;53.353799906379486;0.6177322889039274;;2.732841000648265
2000-07-03;0.6272;0.6361;0.6248;0.6254;52.55723214735588;0.6187546503834037;;2.6723790042581115
2000-07-10;0.6267;0.63151;0.6205;0.6255;52.61165553270249;0.6196540303322832;;2.606826056916672
2000-07-17;0.6248;0.6281;0.6141;0.6166;47.40007715591225;0.6192468262879788;;2.6177431631780173
2000-07-24;0.6164;623;0.6127;0.6146;46.29038436463488;0.6186272494495816;;2.5583777657247864
2000-07-31;614;0.6198;0.5998;0.6027;40.2520958096752;0.6165036161896373;;2.659570820899749
2000-08-07;0.6025;0.6078;596;0.6009;39.414585301583934;0.614423134031019;;2.6172649762061226
2000-08-14;0.6009;0.6134;0.5976;0.6084;44.58801897461961;0.6136200494935498;;2.5858562053429788
2000-08-21;0.6089;615;0.6011;613;47.546485401787855;0.6135373762277431;;2.545100664099125
2000-08-28;613;0.6176;0.6014;0.6153;49.012313239597475;0.6137723927307106;;2.542535254835728
2000-09-04;0.6151;0.6169;0.6008;0.6112;46.516805295789744;0.6134294070332825;;2.5649174048599366
2000-09-11;0.6111;0.6173;0.6039;0.6098;45.66186407793283;0.6129454860955115;;2.544137156451191
2000-09-18;0.6099;0.6129;0.5931;0.6043;42.367451036337314;0.6117927546161099;;2.61795145434519
2000-09-25;0.6042;0.6066;595;0.5986;39.21012461657179;0.6100337206672953;;2.5925212197735643
2000-10-02;0.5985;603;0.5967;0.6001;40.467435926768886;0.6087092245783227;;2.4763112847899067
2000-10-09;0.6005;0.6019;0.5838;0.5883;34.43388449495615;0.6059879946345463;;2.565314978513331
2000-10-16;0.5882;0.5923;0.5775;0.5785;30.382367246983318;0.6023229286832735;0.6103761904761904;2.605170073363639
2000-10-23;0.5786;0.5876;0.5731;0.5784;30.34313431900366;0.599133204858837;0.6088889258028792;2.598570136426996
2000-10-30;0.5783;0.6044;0.5771;598;45.26262056463099;0.5989821108776587;0.6083824641376291;2.6599580231512037
2000-11-06;0.5982;0.6079;594;604;48.87274582810719;0.5996511627606376;0.608178628596344;2.6098053065252436
2000-11-13;0.6042;0.6052;0.5941;0.5966;44.936329557134066;0.5992443410592192;0.6076400877313978;2.586345393759424
2000-11-20;0.5967;0.6024;593;0.5989;46.38185863924147;0.59919842891799;0.6072335720229607;2.504493667547569
2000-11-27;0.5988;0.6143;0.5952;0.61;52.819203434117156;0.6006386383955914;0.6073622430916602;2.506936340447905
2000-12-04;0.6099;0.6208;0.6079;0.6097;52.63527246858607;0.6018468199428458;0.6074709759711179;2.4801430656472605
2000-12-11;0.6098;0.6179;0.6;607;50.91676662624926;0.602533910617133;0.6074490701119961;2.5238717289511365
2000-12-18;0.6068;0.6263;605;0.6245;60.026493426308605;0.6054627225348487;0.6082421366184149;2.5215454435723905
2000-12-25;0.6246;631;0.62;0.6294;62.1450385165351;0.6086543595302022;0.6092262232873258;2.448041976898913
2001-01-01;0.6294;0.6377;621;0.6372;65.29789691472632;0.6124604449261752;0.6105273291809385;2.432558634133966
2001-01-08;0.6369;0.6448;0.6289;642;67.11314235254882;0.6163990522693519;0.6119911743353135;2.4188187251571125
2001-01-15;0.6419;0.6435;0.6304;0.6385;64.46515398404864;0.619345845300105;0.6132241429708802;2.4049067099408505
2001-01-22;0.6386;0.6428;0.6286;0.6321;59.8175041396243;0.621046399260091;0.6141020898094439;2.416200888858457
2001-01-29;0.6323;0.6428;0.6268;0.6371;62.115477091147866;0.6231868793587455;0.6151717600508652;2.405391345159607
2001-02-05;0.6365;0.6408;0.6336;0.6399;63.37851578574896;0.6254152954442461;0.6163219107461737;2.304173948833011
2001-02-12;0.64;0.6421;0.6216;0.6302;56.36748494910587;0.6260532560516799;0.6169674032696075;2.4048750768641667
2001-02-19;0.6304;0.6383;0.6237;0.6309;56.739399648812814;0.6266994885781226;0.6176154310245096;2.39591734650243
2001-02-26;0.6311;0.6413;0.6265;0.6363;59.60023177113556;0.6279795567677062;0.6184844807442998;2.3720387172278334
2001-03-05;0.6363;0.6385;0.6304;0.6352;58.74796362376602;0.628942282532012;0.6192619467561928;2.2975066418942194
2001-03-12;0.6351;0.6369;0.6216;0.6264;52.30420076292957;0.6286033115277437;0.619593949232649;2.337836485826686
2001-03-19;0.6263;0.6345;0.6215;0.6229;49.95719150394219;0.6278428699907113;0.6197477190357816;2.3321182110616077
2001-03-26;0.6228;626;0.6127;0.6182;46.912908067524434;0.6265571539919498;0.6196757321038848;2.3356742660389127
2001-04-02;0.6183;0.6314;0.6139;0.6268;52.60421569253062;0.6265895334596898;0.6200070934013786;2.338508501965576
2001-04-09;0.6269;628;0.6147;0.6188;47.502504688718766;0.6255509289983978;0.6199509495222447;2.35306845939333
2001-04-16;0.6189;0.6267;0.6121;0.6255;51.725160122749394;0.6255441384652781;0.6202090448933031;2.3283115124750156
2001-04-23;0.6254;0.6279;0.6178;0.6211;48.9410712798227;0.6249515866699077;0.6202504846657076;2.293472993041216
2001-04-30;0.6212;625;0.6183;0.6207;48.684525904871464;0.6243847084472534;0.6202713923556747;2.2081278035987815
2001-05-07;0.6208;0.6247;0.6156;0.6168;46.14471166522941;0.6233734139876196;0.6201099322461084;2.168751628221573
2001-05-14;0.6169;0.6218;0.6104;0.6111;42.64319887980119;0.6217369587892703;0.6196908656300104;2.1658739574691843
2001-05-21;612;612;601;0.6047;39.05935827815661;0.6194653642840342;0.6189936160658239;2.1623889626878072
2001-05-28;0.6048;0.6057;595;0.5967;35.08953463121929;0.6164299823794963;0.6179567036906694;2.1629385279256295
2001-06-04;0.5968;0.6172;0.5958;0.6135;47.22095419402015;0.6160393180622301;0.6177494151469173;2.202599889972278
2001-06-11;0.6134;0.6535;0.6094;0.6141;47.59763581726818;0.6157807423205994;0.6175796749075257;2.556218789689196
2001-06-18;0.6139;0.6161;0.6;0.6064;43.32428577152142;0.6145299766778528;0.6170596900281059;2.5934156454633617
2001-06-25;0.6065;0.6125;0.5983;0.6004;40.288901223220535;0.6126459797874725;0.6162848207244731;2.6011723394304718
2001-07-02;0.6003;604;0.5946;0.6001;40.13747987951862;0.6109731824824761;0.6155320383651953;2.528467915314438
2001-07-09;0.6002;0.6105;0.5998;0.6087;46.361104355304036;0.6106700914848127;0.6152142691389072;2.440251677784332
2001-07-16;0.6078;618;0.6069;0.6107;47.72230162878311;0.6106740792868376;0.6150043031324464;2.3883547628570496
2001-07-23;0.6108;0.6175;0.6082;0.6153;50.81398761216088;0.6112908687152593;0.6150180564751233;2.309139246569434
2001-07-30;0.6154;0.6204;612;0.6187;53.02529320879247;0.6122787528865581;0.6151893096623269;2.229395035602789
2001-08-06;618;0.6284;0.6159;0.6277;58.361694420733734;0.6143349191683504;0.6157712022361721;2.1827132172849617
2001-08-13;0.6276;636;0.6268;0.6344;61.8373732055887;0.617010263279237;0.6166376579461176;2.108984656409545
2001-08-20;0.6342;0.6362;0.6201;0.6321;59.98624714857915;0.6190222281753388;0.6173568366462981;2.147401886946098
